"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Pseudomonas fluorescens","CCND1",-0.2901,-0.1459,0.0083,TRUE,TRUE,"novel",FALSE
"s  Fluviibacter phosphoraccumulans","CCND1",-0.2881,-0.1533,0.0054,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium kroppenstedtii","CTNNB1",-0.2873,-0.177,0.0011,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium kroppenstedtii","CCND1",-0.2873,-0.2216,0,TRUE,TRUE,"novel",FALSE
"s  Leptolyngbya sp. 7M","CTNNB1",-0.2843,-0.1964,3e-04,TRUE,TRUE,"novel",FALSE
"s  Leptolyngbya sp. 7M","CCND1",-0.2843,-0.1831,7e-04,TRUE,TRUE,"novel",FALSE
"s  Actinomyces oris","CCND1",-0.2824,-0.1839,7e-04,TRUE,TRUE,"novel",FALSE
"s  Tepidimonas taiwanensis","CCND1",-0.2751,-0.1621,0.0031,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas sp. FARSPH","CCND1",-0.2743,-0.1706,0.0017,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium coyleae","MYC",-0.2685,-0.1251,0.0254,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium coyleae","CCND1",-0.2685,-0.142,0.0102,TRUE,TRUE,"novel",FALSE
"s  Streptococcus thermophilus","CCND1",-0.2681,-0.1389,0.0122,TRUE,TRUE,"literature-supported",FALSE
"s  Pseudomonas putida","CTNNB1",-0.2674,-0.1391,0.012,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas putida","CCND1",-0.2674,-0.185,6e-04,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium tuberculostearicum","CTNNB1",-0.2649,-0.181,8e-04,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium tuberculostearicum","MYC",-0.2649,-0.1521,0.0058,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium tuberculostearicum","CCND1",-0.2649,-0.1792,0.001,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","CTNNB1",-0.2639,-0.1284,0.0215,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","CCND1",-0.2639,-0.1646,0.0026,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium ureicelerivorans","CTNNB1",-0.2573,-0.1941,3e-04,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium ureicelerivorans","MYC",-0.2573,-0.1543,0.0051,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium ureicelerivorans","CCND1",-0.2573,-0.2047,1e-04,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas aeruginosa","CTNNB1",-0.2555,-0.1968,3e-04,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas aeruginosa","CCND1",-0.2555,-0.177,0.0011,TRUE,TRUE,"novel",FALSE
"s  Lawsonella clevelandensis","CTNNB1",-0.2442,-0.2413,0,TRUE,TRUE,"novel",FALSE
"s  Lawsonella clevelandensis","MYC",-0.2442,-0.1632,0.0029,TRUE,TRUE,"novel",FALSE
"s  Lawsonella clevelandensis","CCND1",-0.2442,-0.2599,0,TRUE,TRUE,"novel",FALSE
"s  Anaerococcus mediterraneensis","CTNNB1",-0.2434,-0.1436,0.0094,TRUE,TRUE,"novel",FALSE
"s  Anaerococcus mediterraneensis","MYC",-0.2434,-0.1113,0.0495,TRUE,TRUE,"novel",FALSE
"s  Anaerococcus mediterraneensis","CCND1",-0.2434,-0.2102,1e-04,TRUE,TRUE,"novel",FALSE
"s  Hydrogenophaga sp. NH-16","CCND1",-0.2402,-0.1193,0.0343,TRUE,TRUE,"novel",FALSE
"s  Escherichia marmotae","CCND1",-0.2367,-0.1716,0.0016,TRUE,TRUE,"novel",FALSE
"s  Streptococcus gordonii","CCND1",-0.2237,-0.1736,0.0014,TRUE,TRUE,"literature-supported",FALSE
"s  Finegoldia magna","CTNNB1",-0.2221,-0.1438,0.0093,TRUE,TRUE,"novel",FALSE
"s  Finegoldia magna","MYC",-0.2221,-0.1406,0.011,TRUE,TRUE,"novel",FALSE
"s  Finegoldia magna","CCND1",-0.2221,-0.1961,3e-04,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium kefirresidentii","CTNNB1",-0.2206,-0.1314,0.0184,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium kefirresidentii","MYC",-0.2206,-0.1205,0.0322,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium kefirresidentii","CCND1",-0.2206,-0.2593,0,TRUE,TRUE,"novel",FALSE
"s  Porphyrobacter sp. GA68","CTNNB1",-0.2199,-0.154,0.0052,TRUE,TRUE,"novel",FALSE
"s  Porphyrobacter sp. GA68","CCND1",-0.2199,-0.1679,0.0021,TRUE,TRUE,"novel",FALSE
"s  Escherichia coli","CCND1",-0.2167,-0.1271,0.023,TRUE,TRUE,"novel",FALSE
"s  Methylorubrum populi","MYC",-0.2147,-0.1126,0.0468,TRUE,TRUE,"novel",FALSE
"s  Anaerococcus prevotii","CCND1",-0.2113,-0.1562,0.0045,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas alpina","CTNNB1",-0.2048,-0.1174,0.0374,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas alpina","CCND1",-0.2048,-0.1963,3e-04,TRUE,TRUE,"novel",FALSE
"s  Prevotella melaninogenica","CCND1",-0.2045,-0.1256,0.0248,TRUE,TRUE,"novel",FALSE
"s  Gardnerella vaginalis","CCND1",-0.2,-0.1187,0.035,TRUE,TRUE,"novel",FALSE
