"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Staphylococcus capitis","STAT3",0.1548,0.222,0.026,TRUE,FALSE,"novel",TRUE
"s  Staphylococcus simulans","STAT3",0.1921,0.4095,0,TRUE,FALSE,"novel",TRUE
"s  Staphylococcus epidermidis","STAT3",0.1964,0.1264,0.2785,FALSE,FALSE,"novel",TRUE
"s  Escherichia coli","STAT3",-0.1722,-0.0724,0.5909,FALSE,FALSE,"novel",FALSE
"s  Spirosoma pollinicola","STAT3",-0.1627,-0.0581,0.6863,FALSE,FALSE,"novel",FALSE
