"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Spirosoma pollinicola","KLF4",-0.2428,-0.0657,0.8201,FALSE,FALSE,"novel",FALSE
"s  Spirosoma pollinicola","POU5F1",-0.2428,-0.1599,0.3912,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","KLF4",-0.1911,-0.031,0.933,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","POU5F1",-0.1911,-0.1604,0.3905,FALSE,FALSE,"novel",FALSE
"s  Actinomyces oris","KLF4",-0.1805,-0.1368,0.4623,FALSE,FALSE,"novel",FALSE
"s  Actinomyces oris","POU5F1",-0.1805,-0.1154,0.5718,FALSE,FALSE,"novel",FALSE
"s  Escherichia coli","KLF4",-0.1599,-0.2053,0.283,FALSE,FALSE,"novel",FALSE
"s  Escherichia coli","POU5F1",-0.1599,-0.172,0.3456,FALSE,FALSE,"novel",FALSE
